,avg_rating,opening_ply,MA
200,1196,4.25,3.6152116402116405
201,1197,3.2222222222222223,3.611507936507937
202,1198,4.545454545454546,3.643023088023089
203,1199,3.6,3.6685786435786443
204,1200,3.2222222222222223,3.6537638287638297
205,1201,3.1666666666666665,3.6393193843193856
206,1202,3.1818181818181817,3.645379990379992
207,1203,2.1,3.6264911014911028
208,1204,4.5,3.6431577681577694
209,1205,6.0,3.7042688792688803
210,1206,5.4,3.812046657046658
211,1207,5.2,3.8687133237133247
212,1208,2.6666666666666665,3.8776022126022136
213,1209,4.5,3.8876022126022134
214,1210,3.8333333333333335,3.875379990379991
215,1211,3.5,3.8550096200096204
216,1212,3.875,3.850842953342954
217,1213,4.25,3.846676286676287
218,1214,3.0769230769230766,3.8200737225737234
219,1215,3.4285714285714284,3.8010261035261044
220,1216,3.5,3.831978484478485
221,1217,4.833333333333333,3.8264229289229297
222,1218,3.0,3.7978515003515008
223,1219,5.0,3.8534070559070566
224,1220,3.1428571428571432,3.824835627335628
225,1221,4.0,3.7915022940022944
226,1222,3.5,3.808168960668961
227,1223,3.0,3.808168960668961
228,1224,4.333333333333333,3.844280071780072
229,1225,3.571428571428572,3.8466610241610244
230,1226,7.75,3.963327690827691
231,1227,6.0,4.055920283420283
232,1228,4.875,4.066905131905132
233,1229,5.0,4.113571798571799
234,1230,4.6,4.159497724497725
235,1231,3.5,4.170608835608836
236,1232,5.666666666666668,4.253437118437119
237,1233,5.0,4.350103785103785
238,1234,3.8,4.326770451770453
239,1235,4.0,4.2601037851037855
240,1236,7.5,4.330103785103786
241,1237,3.1428571428571432,4.261532356532357
242,1238,3.0,4.272643467643468
243,1239,4.769230769230768,4.281617826617828
244,1240,3.4285714285714284,4.268125763125764
245,1241,3.888888888888889,4.2810887260887265
246,1242,3.8333333333333335,4.279699837199838
247,1243,4.0,4.2713665038665045
248,1244,2.875,4.2646357346357355
249,1245,4.2,4.290350020350021
250,1246,4.0,4.307016687016688
251,1247,5.666666666666668,4.334794464794466
252,1248,2.333333333333333,4.3125722425722435
253,1249,3.727272727272727,4.2701480001480006
254,1250,4.454545454545454,4.313870943870945
255,1251,5.0,4.347204277204279
256,1252,3.333333333333333,4.341648721648723
257,1253,3.8571428571428568,4.370220150220152
258,1254,4.142857142857143,4.363870943870945
259,1255,3.75,4.369823324823326
260,1256,4.818181818181818,4.272096052096052
261,1257,4.5,4.222096052096052
262,1258,3.0769230769230766,4.162160154660155
263,1259,4.714285714285714,4.1526363451363455
264,1260,2.8,4.092636345136346
265,1261,4.111111111111111,4.1130067155067165
266,1262,4.333333333333333,4.068562271062271
267,1263,4.666666666666667,4.05745115995116
268,1264,3.6,4.050784493284493
269,1265,3.333333333333333,4.028562271062271
270,1266,3.583333333333333,3.8980067155067157
271,1267,4.375,3.9390781440781444
272,1268,4.090909090909091,3.975441780441781
273,1269,3.8666666666666663,3.9453563103563103
274,1270,3.5,3.9477372627372627
275,1271,2.9,3.9147742997743
276,1272,4.3,3.930329855329856
277,1273,4.857142857142857,3.9589012839012843
278,1274,3.7142857142857135,3.9868774743774744
279,1275,4.0,3.9802108077108076
280,1276,5.384615384615384,4.026364653864654
281,1277,4.571428571428571,3.989856717356717
282,1278,3.2857142857142856,4.021602749102749
283,1279,4.25,4.039026991526992
284,1280,4.2727272727272725,4.032966385466385
285,1281,4.5,4.0162997187997185
286,1282,3.636363636363636,4.026400728900729
287,1283,4.333333333333333,4.042273744773745
288,1284,4.625,4.058345173345173
289,1285,3.2,4.04001184001184
290,1286,4.3,4.022739112739113
291,1287,3.2222222222222223,3.9801465201465205
292,1288,3.7,4.000915750915751
293,1289,4.230769230769232,3.9847985347985353
294,1290,3.4166666666666665,4.005354090354091
295,1291,4.285714285714286,4.011174196174197
296,1292,4.9,4.0300630850630865
297,1293,4.0,4.0078408628408635
298,1294,3.888888888888889,4.017470492470493
299,1295,4.4444444444444455,4.05450752950753
300,1296,4.0,4.06839641839642
301,1297,3.0,4.022563085063086
302,1298,4.222222222222221,4.026940189440191
303,1299,4.25,4.039717967217969
304,1300,4.1,4.059717967217969
305,1301,4.8,4.123051300551301
306,1302,4.222222222222221,4.12045870795871
307,1303,4.777777777777779,4.117813205313207
308,1304,4.0,4.127337014837017
309,1305,3.76,4.119337014837017
310,1306,3.571428571428572,4.0588974543974565
311,1307,3.9166666666666665,4.037072057572059
312,1308,5.0,4.094214914714916
313,1309,5.7142857142857135,4.14302443852444
314,1310,3.6666666666666665,4.1228224183224205
315,1311,3.6875,4.095739084989088
316,1312,4.0,4.1078602971102995
317,1313,4.25,4.105082519332522
318,1314,4.111111111111111,4.087952889702892
319,1315,4.230769230769232,4.122311864061866
320,1316,4.75,4.137311864061866
321,1317,4.571428571428571,4.182285409035411
322,1318,3.8333333333333335,4.186729853479855
323,1319,3.6,4.165704212454215
324,1320,4.166666666666667,4.190704212454214
325,1321,3.363636363636364,4.1599682817182835
326,1322,3.75,4.12163494838495
327,1323,4.125,4.125801615051617
328,1324,4.0,4.129505318755321
329,1325,4.307692307692308,4.124946914196917
330,1326,3.333333333333333,4.102724691974695
331,1327,3.8461538461538463,4.130929820179822
332,1328,4.384615384615385,4.136342925592928
333,1329,3.8571428571428568,4.12324768749769
334,1330,4.909090909090909,4.150217384467386
335,1331,3.2666666666666666,4.099106273356275
336,1332,3.6,4.078365532615535
337,1333,4.833333333333333,4.080217384467386
338,1334,4.818181818181818,4.1074901117401135
339,1335,4.066666666666666,4.117712333962335
340,1336,3.8,4.125331381581383
341,1337,3.928571428571429,4.1257282069782075
342,1338,4.636363636363637,4.113606994856996
343,1339,3.615384615384616,4.043643624893626
344,1340,3.0,4.021421402671404
345,1341,3.5,4.015171402671403
346,1342,4.181818181818182,4.02123200873201
347,1343,3.9230769230769234,4.010334572834574
348,1344,3.9166666666666665,4.0038530913530925
349,1345,4.588235294117646,4.01576862679804
350,1346,3.8571428571428568,3.9860067220361355
351,1347,5.2727272727272725,4.0093833454127585
352,1348,3.9166666666666665,4.012161123190537
353,1349,4.285714285714286,4.03501826604768
354,1350,4.461538461538462,4.04484732587674
355,1351,3.4285714285714284,4.047011828041242
356,1352,3.928571428571429,4.0529642089936235
357,1353,3.533333333333333,4.033241986771401
358,1354,3.4285714285714284,4.014194367723782
359,1355,3.5,3.987271290800705
360,1356,4.857142857142857,4.038064941594356
361,1357,3.1428571428571432,4.014621718151132
362,1358,3.8333333333333335,3.996245649775064
363,1359,4.583333333333333,4.020451998981413
364,1360,4.3125,4.000565635345049
365,1361,4.333333333333333,4.036121190900605
366,1362,4.846153846153847,4.077659652439067
367,1363,4.166666666666667,4.055437430216845
368,1364,4.533333333333333,4.045942480721895
369,1365,5.125,4.081220258499673
370,1366,4.642857142857143,4.1093154965949115
371,1367,4.235294117647058,4.119539586230766
372,1368,4.0,4.098327465018644
373,1369,3.882352941176471,4.107226409211706
374,1370,2.9090909090909087,4.104196106181403
375,1371,4.1875,4.127112772848069
376,1372,3.375,4.1002188334541305
377,1373,4.785714285714286,4.128973412208709
378,1374,4.142857142857143,4.136513094748391
379,1375,4.1,4.12023858494447
380,1376,4.875,4.154167156373041
381,1377,4.1,4.115076247282132
382,1378,4.222222222222221,4.125261432467317
383,1379,4.352941176470588,4.1275023288258605
384,1380,3.25,4.087117713441245
385,1381,5.8181818181818175,4.166771393094924
386,1382,4.764705882352942,4.194642541554308
387,1383,4.705882352941177,4.233727508874569
388,1384,4.75,4.2777751279221885
389,1385,4.238095238095238,4.302378302525364
390,1386,4.333333333333333,4.2849179850650465
391,1387,4.277777777777779,4.322748672895734
392,1388,3.9166666666666665,4.325526450673511
393,1389,4.181818181818182,4.312142612289673
394,1390,4.277777777777779,4.310985204882265
395,1391,3.3846153846153846,4.279361273258333
396,1392,3.8571428571428568,4.2463942402913
397,1393,4.0,4.240838684735745
398,1394,4.2727272727272725,4.232151816048876
399,1395,3.875,4.1904851493822095
400,1396,3.7647058823529416,4.161213440698735
401,1397,5.615384615384616,4.207216457289987
402,1398,3.8947368421052633,4.203707685360163
403,1399,4.111111111111111,4.211332957691318
404,1400,4.142857142857143,4.25245849881686
405,1401,4.454545454545454,4.261360013968375
406,1402,4.9,4.312193347301709
407,1403,4.1,4.289336204444566
408,1404,3.8333333333333335,4.2790187441271055
409,1405,3.8125,4.269435410793773
410,1406,4.181818181818182,4.246329350187712
411,1407,4.0,4.242996016854379
412,1408,3.933333333333333,4.233366387224749
413,1409,4.611111111111111,4.241972051712767
414,1410,4.631578947368421,4.288024683291714
415,1411,4.117647058823529,4.231340191313105
416,1412,5.0,4.239183328568007
417,1413,3.736842105263158,4.20688198697874
418,1414,3.9444444444444446,4.180030135126888
419,1415,4.0,4.17209362719038
420,1416,4.230769230769232,4.1686748237715765
421,1417,3.3,4.136082231178984
422,1418,4.478260869565218,4.154802037942269
423,1419,4.055555555555555,4.150593283733515
424,1420,3.7,4.131334024474255
425,1421,3.647058823529412,4.140082139104723
426,1422,4.266666666666667,4.153732932755516
427,1423,4.2727272727272725,4.162823841846426
428,1424,4.2,4.160399599422183
429,1425,4.888888888888889,4.1941958957184795
430,1426,3.9090909090909087,4.1990087299430785
431,1427,3.5789473684210527,4.1311274883776266
432,1428,4.416666666666667,4.14852514919634
433,1429,5.285714285714286,4.187678588349779
434,1430,3.7692307692307687,4.175224375895566
435,1431,4.076923076923077,4.162636963308153
436,1432,4.652173913043479,4.154376093742936
437,1433,4.133333333333334,4.1554872048540465
438,1434,4.764705882352942,4.186532956488034
439,1435,3.52,4.176782956488035
440,1436,4.291666666666667,4.18044457264965
441,1437,4.333333333333333,4.191555683760762
442,1438,4.111111111111111,4.197481609686688
443,1439,4.833333333333333,4.204889017094095
444,1440,5.230769230769232,4.224862026540788
445,1441,4.703703703703703,4.244397248036794
446,1442,3.5,4.194397248036794
447,1443,4.1875,4.209419177861355
448,1444,4.117647058823529,4.215192598340658
449,1445,4.105263157894736,4.218701370270482
450,1446,3.333333333333333,4.188786840355953
451,1447,3.4375,4.193370173689286
452,1448,3.692307692307693,4.167171734447368
453,1449,4.125,4.169486549262183
454,1450,3.7777777777777777,4.172079141854776
455,1451,4.6190476190476195,4.2044787683720495
456,1452,5.142857142857143,4.233685117578399
457,1453,3.3809523809523814,4.2039592878525704
458,1454,4.142857142857143,4.202054525947808
459,1455,4.333333333333333,4.18353600742929
460,1456,5.2,4.226566310459592
461,1457,3.870967741935484,4.236300322910074
462,1458,5.0,4.255744767354519
463,1459,4.933333333333334,4.2439987356084865
464,1460,3.941176470588236,4.249730258987069
465,1461,4.227272727272728,4.254741913998723
466,1462,4.352941176470588,4.244767489446294
467,1463,4.625,4.2611563783351825
468,1464,4.375,4.248166182256751
469,1465,3.2,4.237499515590085
470,1466,4.25,4.236110626701197
471,1467,4.291666666666667,4.2347217378123085
472,1468,4.230769230769232,4.238710341800912
473,1469,4.083333333333333,4.213710341800913
474,1470,4.0,4.172684700775273
475,1471,4.85,4.177561243985148
476,1472,4.142857142857143,4.198989815413721
477,1473,5.117647058823528,4.229994717374505
478,1474,4.529411764705882,4.2437202075705835
479,1475,5.0,4.273544768974092
480,1476,4.857142857142857,4.324338419767742
481,1477,5.214285714285714,4.383564610243933
482,1478,4.5625,4.412571020500343
483,1479,4.4444444444444455,4.423219168648492
484,1480,3.9375,4.428543242722567
485,1481,3.7857142857142856,4.400765464944788
486,1482,5.125,4.400170226849551
487,1483,3.388888888888889,4.400434777114101
488,1484,4.6,4.415672872352196
489,1485,4.846153846153847,4.432766889446213
490,1486,4.0,4.392766889446213
491,1487,5.434782608695652,4.444894051671552
492,1488,4.7,4.434894051671551
493,1489,3.5263157894736836,4.387993466876229
494,1490,4.368421052631579,4.402234952944341
495,1491,3.583333333333333,4.380770306479695
496,1492,3.6,4.355672267264009
497,1493,5.133333333333334,4.372616711708454
498,1494,3.941176470588236,4.358155927394728
499,1495,5.0555555555555545,4.420007779246579
500,1496,3.3181818181818183,4.388947173185973
501,1497,4.857142857142857,4.40779637953518
502,1498,4.230769230769232,4.40779637953518
503,1499,3.085714285714286,4.374542411281212
504,1500,4.5,4.391209077947878
505,1501,3.6,4.349542411281211
506,1502,3.90625,4.341655506519307
507,1503,3.466666666666667,4.286622826780745
508,1504,4.705882352941177,4.292505179721922
509,1505,4.318181818181818,4.269777906994649
510,1506,3.5625,4.226623145089887
511,1507,3.466666666666667,4.168369176835919
512,1508,5.727272727272728,4.207194934411676
513,1509,3.9090909090909087,4.189349816566558
514,1510,3.363636363636364,4.170221028687771
515,1511,5.363636363636363,4.222818431285173
516,1512,4.473684210526316,4.201107904969384
517,1513,3.6875,4.211061608673088
518,1514,4.411764705882354,4.204787098869166
519,1515,4.615384615384615,4.197094791176858
520,1516,3.5882352941176467,4.183369300980781
521,1517,3.9130434782608696,4.1326446632996205
522,1518,4.761904761904762,4.134708155363112
523,1519,4.7,4.173830962380657
524,1520,3.8235294117647056,4.155667907685094
525,1521,4.5625,4.188306796573984
526,1522,4.2,4.208306796573984
527,1523,5.25,4.212195685462873
528,1524,4.083333333333333,4.216934247554376
529,1525,4.076923076923077,4.184313164933293
530,1526,3.7,4.197040437660566
531,1527,4.0625,4.170552342422471
532,1528,6.1,4.232860034730163
533,1529,5.411764705882354,4.310395048735765
534,1530,4.5,4.310395048735765
535,1531,5.375,4.3695617154024315
536,1532,4.8125,4.399770048735765
537,1533,4.2727272727272725,4.4266387356044525
538,1534,5.142857142857143,4.441204561934984
539,1535,4.153846153846153,4.435726706457129
540,1536,4.375,4.462810039790463
541,1537,4.384615384615385,4.493408330388752
542,1538,4.666666666666667,4.458054795035218
543,1539,4.428571428571429,4.475370812351234
544,1540,3.615384615384616,4.483762420742843
545,1541,4.142857142857143,4.443069780050201
546,1542,4.066666666666666,4.429502528588213
547,1543,4.318181818181818,4.450525255860939
548,1544,5.4375,4.484716432331528
549,1545,4.153846153846153,4.469331816946913
550,1546,6.7142857142857135,4.573533497619182
551,1547,4.645161290322581,4.597937424687905
552,1548,4.8,4.599207265957747
553,1549,5.5,4.6258739326244145
554,1550,4.0,4.631756285565591
555,1551,4.2727272727272725,4.622097194656501
556,1552,4.363636363636363,4.627551740111047
557,1553,3.875,4.581718406777713
558,1554,3.6428571428571432,4.567035867095173
559,1555,4.411764705882354,4.578197254727149
560,1556,4.625,4.609030588060483
561,1557,4.789473684210527,4.633263044200834
562,1558,5.3809523809523805,4.60929479023258
563,1559,4.466666666666667,4.577791522258724
564,1560,4.769230769230768,4.586765881233083
565,1561,5.0,4.574265881233083
566,1562,4.5,4.5638492145664165
567,1563,4.583333333333333,4.574202749919952
568,1564,5.7142857142857135,4.593250368967571
569,1565,3.8571428571428568,4.583360259077462
570,1566,3.8333333333333335,4.565304703521906
571,1567,6.2631578947368425,4.627922787192621
572,1568,4.8,4.632367231637066
573,1569,5.533333333333332,4.669192628462464
574,1570,4.75,4.707013141282976
575,1571,4.8125,4.729334569854405
576,1572,6.2727272727272725,4.80286992338976
577,1573,5.5625,4.844347196117032
578,1574,4.571428571428571,4.815478148497985
579,1575,4.7,4.833683276703113
580,1576,3.3076923076923075,4.7201301631499994
581,1577,4.6923076923076925,4.7217017098828356
582,1578,5.571428571428571,4.747415995597121
583,1579,4.9375,4.7286659955971215
584,1580,3.8461538461538463,4.7235377904689155
585,1581,3.75,4.706113548044673
586,1582,4.0,4.69399233592346
587,1583,4.916666666666667,4.728714558145683
588,1584,5.1875,4.780202653383778
589,1585,4.703703703703703,4.789933953311157
590,1586,4.928571428571429,4.800053000930204
591,1587,4.583333333333333,4.793181655900964
592,1588,4.68,4.769816576535885
593,1589,3.1666666666666665,4.726483243202551
594,1590,5.153846153846153,4.739303756023064
595,1591,4.846153846153847,4.734175550894859
596,1592,4.285714285714286,4.727032693752002
597,1593,5.7,4.764254915974223
598,1594,4.9230769230769225,4.737881289600597
